dataset,experiment,descripcion_experimento,model_family,model,model_display_name,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,n,B_accuracy_mean,B_accuracy_std,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_f1_macro_mean,B_f1_macro_std,B_f1_weighted_mean,B_f1_weighted_std,B_fit_time_mean,B_fit_time_std,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_weighted_mean,B_fnr_weighted_std,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_weighted_mean,B_fpr_weighted_std,B_mcc_mean,B_mcc_std,B_precision_macro_mean,B_precision_macro_std,B_precision_weighted_mean,B_precision_weighted_std,B_recall_macro_mean,B_recall_macro_std,B_recall_weighted_mean,B_recall_weighted_std,B_roc_auc_mean,B_roc_auc_std,B_score_time_mean,B_score_time_std,source_file
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,2000,0.0396491403165351,0.0049624062074078,1.7244181245766885e-06,3.74156159973064e-08,0.0495303863323638,0.0048842839907817,0.0435647565484908,0.010248850656434,0.0063654899597167,0.0009281713123813,0.4883735239801945,0.0119529184515099,0.9603508596834648,0.0049624062074078,0.0649786306500687,0.0003048808476079,0.0143286000675659,0.0050251007122888,0.0266360401611497,0.0062210976411913,0.0967721332483849,0.0109708818898838,0.8238245026783003,0.0372475794577839,0.5116264760198055,0.0119529184515099,0.0396491403165351,0.0049624062074078,0.5120586589480245,0.0045009180402725,0.6955057621002197,0.0150903921029553,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_ENN_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_ENN_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,5000,0.0705619612429532,0.0180977614241619,2.2374929895707973e-06,3.926708918868314e-08,0.0645755183140753,0.0058123774930877,0.0797665162252583,0.0255292233056328,0.0175216197967529,0.0004233960215294,0.3936621744081788,0.0315689375125454,0.9294380387570468,0.0180977614241619,0.0629758580082761,0.0013999207989024,0.0151998313670959,0.0112120323234455,0.0632540082465439,0.017889424871452,0.1065799856686959,0.0093288473687376,0.8276904436967023,0.0445796907896189,0.6063378255918211,0.0315689375125454,0.0705619612429532,0.0180977614241619,0.5264977223159786,0.0125052469770038,0.9024431228637696,0.0158373637674045,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_ENN_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_ENN_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,10000,0.082704442737933,0.0248599007808707,2.4480208171637197e-06,3.3841599224474426e-08,0.0865211870948354,0.0120703430348007,0.0932009087877319,0.037950693959845,0.0373820781707763,0.0006982526057957,0.3700695108057328,0.0407107685756298,0.9172955572620668,0.0248599007808707,0.0624633785414113,0.0017054459021742,0.0196551208591031,0.0052643542334826,0.0714983221380984,0.0217720073157355,0.1235349703176988,0.0078901403661837,0.8396720236275226,0.0200780209672855,0.6299304891942672,0.0407107685756299,0.082704442737933,0.0248599007808707,0.5339983936588905,0.0163503266720774,0.987354850769043,0.01364928520036,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_ENN_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_ENN_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,20000,0.1031295088728566,0.0292825526946503,2.7674799278481907e-06,1.0748624747395037e-07,0.1203899830620039,0.0152603452945848,0.1085651034709663,0.0444594773777213,0.0811995983123779,0.0009878020162214,0.3417183905912788,0.0334914810313116,0.8968704911271435,0.0292825526946503,0.0614636565163668,0.0020527817265991,0.0250843566183595,0.001623224846594,0.0924082524861429,0.02682883137652,0.147337496450291,0.005626690032923,0.8596369900924618,0.0038328405902885,0.6582816094087212,0.0334914810313116,0.1031295088728566,0.0292825526946503,0.5403492677424029,0.0157089584444563,1.1162015914916992,0.0433522340866945,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_ENN_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_ENN_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,30000,0.1165414345452663,0.0155734989671761,2.880120743661192e-06,1.203599814317815e-07,0.1269769105452929,0.0112332952423079,0.1078441672422831,0.0189708301757795,0.1227063655853271,0.0011412666606324,0.3247101185913904,0.0259716605431342,0.8834585654547338,0.0155734989671761,0.0605215209932613,0.001092816753907,0.0243642494441867,0.0010718223834835,0.1240043389082339,0.0192996681008693,0.1469430178248476,0.0040113437177659,0.8594274688160723,0.0031463633155946,0.6752898814086097,0.0259716605431341,0.1165414345452663,0.0155734989671761,0.5468240026431599,0.0086066472978415,1.161632776260376,0.0485449302555291,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_ENN_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_ENN_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,40000,0.131685940711124,0.0094281325810164,2.8218757565960416e-06,1.1018840195129293e-07,0.1307648907987049,0.0057954958860148,0.1206953396441147,0.0132417260655445,0.1781214714050293,0.002022348959979,0.3094627767797759,0.0225153671961959,0.8683140592888761,0.0094281325810164,0.0595328788514457,0.0006442578681949,0.0246791234828108,0.0005577225250565,0.1419981195358182,0.0082097637029035,0.1471143652529207,0.0015908915998133,0.8601073631372678,0.0034295487399335,0.690537223220224,0.0225153671961959,0.131685940711124,0.0094281325810164,0.556156247860745,0.0079431176711032,1.1381409168243408,0.044441268334358,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_ENN_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_ENN_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,500,0.7135689634503635,0.0122967125836422,1.5010774637199077e-06,7.005065119088786e-08,0.2791519269103303,0.0055851634035324,0.7826953202529012,0.0094676911891293,0.0018012046813964,3.9059701857521e-05,0.2453475448085848,0.0261836642170816,0.2864310365496365,0.0122967125836422,0.0212582801406804,0.0007228794910007,0.0324431655605694,0.0023778216222713,0.4866112752988507,0.0112652123061885,0.2301830438703489,0.004305800275875,0.9082238064745278,0.0020271278041923,0.7546524551914151,0.0261836642170816,0.7135689634503635,0.0122967125836422,0.9017291252467758,0.0035167688561714,0.6054262638092041,0.0282531898143559,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_RUS_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_RUS_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,1000,0.7329472457750443,0.0053233348532037,1.5758169237509636e-06,5.988529363575445e-08,0.2921407887096682,0.0037807188084255,0.7975967447063964,0.0042826812738453,0.003361701965332,3.1747741361086107e-05,0.2400649279197044,0.0359857750690313,0.2670527542249555,0.0053233348532037,0.0195732167622711,0.0003768298146549,0.0265454972091117,0.0007771286799768,0.5128619899261692,0.0052984840389069,0.2394655274024123,0.0024399097042744,0.9140600606836108,0.0014910261999794,0.7599350720802955,0.0359857750690313,0.7329472457750443,0.0053233348532037,0.9148172058308474,0.0025582930448175,0.635570764541626,0.0241531279839882,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_RUS_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_RUS_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,2000,0.759082808675764,0.004926075965702,1.6581052156850995e-06,5.8902564637646616e-08,0.3119792439137208,0.0021967121198897,0.8178609676448542,0.0035056075654819,0.0068178653717041,2.379376806703784e-05,0.2185222890066593,0.0318027140085243,0.2409171913242359,0.004926075965702,0.0175369278487679,0.000328326312228,0.0221367264072832,0.0012019819823529,0.5445536959844511,0.0054234097043626,0.2549136236298734,0.0015614026407089,0.9206537374775724,0.0006485376481288,0.7814777109933407,0.0318027140085243,0.759082808675764,0.004926075965702,0.9265435159175932,0.0006949769151874,0.6687599182128906,0.0237566687684844,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_RUS_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_RUS_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,5000,0.7954730591597785,0.0052349218112297,1.74207961071113e-06,3.1315647754594585e-08,0.3391785897429253,0.0049102606058647,0.8453675034459014,0.0041597294772196,0.0244509220123291,0.0042666540520592,0.2111459470834375,0.0317665626589317,0.2045269408402215,0.0052349218112297,0.0148625335544831,0.0003383872088944,0.0184110624770259,0.0002969526784476,0.5899651324834096,0.0069318540189886,0.2769576296241142,0.0037784344956194,0.9292430478997132,0.0017424993201519,0.7888540529165624,0.0317665626589317,0.7954730591597785,0.0052349218112297,0.9397523545426406,0.0015407304394423,0.7026291370391846,0.0126304933211917,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_RUS_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_RUS_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,10000,0.8236198934397286,0.001531117952666,1.818053689672593e-06,3.0997546826511984e-08,0.3620778852529306,0.0044387528537768,0.8665560297476205,0.0015639641828864,0.0537753105163574,0.0065991061990392,0.2087263163871751,0.0251450944564504,0.1763801065602713,0.001531117952666,0.0128427429985543,0.0001389470693996,0.0162610384180433,0.000714989248348,0.6278973846237345,0.0031714370409647,0.2961478066383599,0.003947047528491,0.936250952320226,0.0013789742387349,0.7912736836128248,0.0251450944564505,0.8236198934397286,0.001531117952666,0.9496630315028568,0.0005765121120167,0.733271598815918,0.0125024598980597,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_RUS_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_RUS_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,20000,0.8494465303362666,0.001602699422908,1.8589076457079309e-06,2.0373012919170677e-08,0.3848109630762343,0.0046904887675148,0.8853516660285085,0.0007052612921812,0.0916238784790039,0.0001552305999602,0.206724222153569,0.04088325140112,0.1505534696637333,0.0016026994229081,0.011028684510559,0.0001061829055763,0.0148767979946516,0.0005691858480684,0.6658977985174557,0.0029175412796346,0.3155810257644676,0.0035780700074757,0.9423436587960008,0.0010632466677676,0.7932757778464309,0.04088325140112,0.8494465303362666,0.001602699422908,0.9574970160916256,0.0007979777456118,0.7497491359710693,0.0082175496944235,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_RUS_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_RUS_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,30000,0.8625485284816381,0.001944288681891,1.987329989060297e-06,2.4835294963151405e-08,0.398070002214192,0.0055436199358722,0.8948098928127337,0.0008844594102187,0.1363529682159424,0.0004275699847567,0.2113355810159428,0.0395079065027906,0.1374514715183618,0.001944288681891,0.0100977448318534,0.0001204675173536,0.0140147009594399,0.0004666670988901,0.6866134614086404,0.0035268596432669,0.3270924548221785,0.0045810654381865,0.9455126806974674,0.0008817550132875,0.7886644189840571,0.0395079065027905,0.8625485284816381,0.001944288681891,0.9614336656213782,0.0006503358225003,0.8015454292297364,0.0100164541358311,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_RUS_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_RUS_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,40000,0.8712536062376636,0.0014523127068409,1.9398599981057463e-06,1.3681844332917148e-08,0.4088008195150672,0.0052094656571481,0.9009595564661232,0.0006521322067926,0.196418809890747,0.0008515302445034,0.2103412036591298,0.0417853806984304,0.1287463937623365,0.0014523127068408,0.0094841182914701,8.981958263435529e-05,0.0135153806097158,0.0003118273326763,0.7010616486180064,0.0027723529935794,0.3363725416131163,0.0042724699571911,0.94750699605099,0.000824327405716,0.7896587963408702,0.0417853806984304,0.8712536062376636,0.0014523127068409,0.9638453806800796,0.0007471916194647,0.7823994636535645,0.0055179700724014,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_RUS_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_RUS_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,500,0.7650551248146705,0.0077244677531328,1.3483667391166852e-06,5.692124401989172e-08,0.28143281945244,0.0070454666926124,0.8216659028094313,0.0064298335205067,0.0022198677062988,0.0002442341700727,0.2742688649825942,0.008296281358633,0.2349448751853294,0.0077244677531328,0.0207954110175236,0.0005189090325366,0.0769862900775258,0.0055566629111127,0.5044984651317181,0.0072343776262491,0.2407697671442405,0.0064689724634342,0.9063316598362474,0.0031257277954433,0.7257311350174056,0.0082962813586331,0.7650551248146705,0.0077244677531328,0.8858418275681043,0.0052047812994073,0.5438337802886963,0.0229576183068446,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_RUS_SMOTE_ENN_knn/reports/CIC17__A2__RobustScaler_pca_RUS_SMOTE_ENN_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,1000,0.7833211568013531,0.0049299157961685,1.423303730857624e-06,4.2763642049059126e-08,0.3027601152826474,0.0095057961542808,0.8356932150582175,0.0031784706469288,0.0040249824523925,0.0009103658711569,0.2467260538453222,0.0216168860815611,0.216678843198647,0.0049299157961685,0.0187756186239572,0.0003254832988043,0.0649554361607112,0.0034069970483599,0.5351966219459683,0.0037131741550429,0.2560975883971442,0.0078976136538976,0.9133914594761514,0.0007208954966899,0.7532739461546777,0.021616886081561,0.7833211568013531,0.0049299157961685,0.902855541666206,0.0033493058017353,0.5740579605102539,0.017247690931618,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_RUS_SMOTE_ENN_knn/reports/CIC17__A2__RobustScaler_pca_RUS_SMOTE_ENN_knn__cv_summary.csv
