EXPERIMENTO,MODELO,SCALER,PCA,COMPONTENTES PCA,REBALANCEO,N,LOGREG (C) ,MLP (ALPHA),MLP (CAPAS OCULTAS),KNN (DISTANCIA),KNN (K),ACCURACY MEDIO,ACCURACY STD,LATENCIA DE DETECCIÓN MEDIA (S),LATENCIA DE DETECCIÓN STD (S),F1 MACRO MEDIO,F1 MACRO STD,F1 WEIGHTED MEDIO,F1 WEIGHTED STD,FIT TIME MEDIO,FIT TIME STD,FNR MACRO MEDIO,FNR MACRO STD,FNR WEIGHTED MEDIO,FNR WEIGHTED STD,FPR MACRO MEDIO,FPR MACRO STD,FPR WEIGHTED MEDIO,FPR WEIGHTED STD,MCC MEDIO,MCC STD,PRECISIÓN MACRO MEDIA,PRECISIÓN MACRO STD,PRECISIÓN WEIGHTED MEDIA,PRECISIÓN WEIGHTED STD,RECALL MACRO MEDIO,RECALL MACRO STD,RECALL WEIGHTED MEDIO,RECALL WEIGHTED STD,ROC-AUC MEDIO,ROC-AUC STD,SCORE TIME MEDIO,SCORE TIME STD
RobustScaler + sin PCA + RUS_SMOTE + mlp,mlp,RobustScaler,False,,RUS_SMOTE,10000,,0.0001,"(100,)",,,"0,82597","0,03844","0,00000","0,00000","0,40907","0,05437","0,87802","0,02569","12,82490","5,51763","0,16881","0,01507","0,17403","0,03844","0,01210","0,00254","0,00748","0,00200","0,65035","0,05087","0,35735","0,05496","0,95750","0,00655","0,83119","0,01507","0,82597","0,03844","0,92713","0,02285","0,16031","0,00285"
RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,mlp,RobustScaler,False,,RUS_SMOTE_ENN,10000,,0.0001,"(100,)",,,"0,84333","0,02894","0,00000","0,00000","0,42359","0,04024","0,89119","0,02128","15,74224","3,05934","0,14506","0,02470","0,15667","0,02894","0,01098","0,00201","0,00796","0,00142","0,67153","0,03957","0,37207","0,03284","0,96191","0,00704","0,85494","0,02470","0,84333","0,02894","0,93813","0,01803","0,16034","0,00179"
StandardScaler + sin PCA + NearMiss_SMOTE + mlp,mlp,StandardScaler,False,,NearMiss_SMOTE,10000,,1,"(100,)",,,"0,18441","0,01246","0,00000","0,00000","0,22588","0,03927","0,24038","0,01455","12,82510","2,84950","0,24637","0,02615","0,81559","0,01246","0,06064","0,00100","0,09403","0,00349","0,18447","0,01526","0,27249","0,04400","0,80506","0,02026","0,75363","0,02615","0,18441","0,01246","0,59762","0,06685","0,14336","0,00237"
StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,10000,,1,"(100,)",,,"0,18186","0,01122","0,00000","0,00000","0,21942","0,01000","0,23988","0,01410","12,34786","2,60221","0,24575","0,01650","0,81814","0,01122","0,06058","0,00100","0,09064","0,00587","0,19615","0,01519","0,25977","0,00843","0,80284","0,01986","0,75425","0,01650","0,18186","0,01122","0,56794","0,06480","0,14686","0,00310"
StandardScaler + sin PCA + NONE + mlp,mlp,StandardScaler,False,,NONE,10000,,1,"(100, 50)",,,"0,99674","0,00015","0,00000","0,00000","0,71558","0,01126","0,99629","0,00016","244,61324","45,56130","0,30631","0,01755","0,00326","0,00015","0,00091","0,00001","0,01043","0,00030","0,98914","0,00050","0,85864","0,04582","0,99665","0,00018","0,69369","0,01755","0,99674","0,00015","0,99983","0,00002","0,17189","0,01632"
StandardScaler + sin PCA + RUS_SMOTE + mlp,mlp,StandardScaler,False,,RUS_SMOTE,10000,,0.0001,"(100, 50)",,,"0,94676","0,00293","0,00000","0,00000","0,56915","0,01516","0,95716","0,00226","19,71060","6,61391","0,11455","0,02219","0,05324","0,00293","0,00371","0,00018","0,00241","0,00047","0,85473","0,00651","0,49683","0,01492","0,97312","0,00147","0,88545","0,02219","0,94676","0,00293","0,99643","0,00038","0,17534","0,00183"
StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,mlp,StandardScaler,False,,RUS_SMOTE_ENN,10000,,1,"(100, 50)",,,"0,94882","0,00581","0,00000","0,00000","0,58136","0,02419","0,95860","0,00448","24,31093","5,30674","0,10871","0,02871","0,05118","0,00581","0,00361","0,00040","0,00296","0,00055","0,85928","0,01302","0,51323","0,02532","0,97361","0,00264","0,89129","0,02871","0,94882","0,00581","0,99667","0,00035","0,17427","0,00878"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPERIMENTO,model,scaler,use_pca,n_components_pca,rebalanceo,n,best_param_metric,best_param_n_neighbors,best_param_C,best_param_alpha,best_param_hidden_layer_sizes,H_accuracy,H_detection_latency_seconds,H_f1_macro,H_f1_weighted,H_fit_time,H_fnr_macro,H_fnr_weighted,H_fpr_macro,H_fpr_weighted,H_mcc,H_precision_macro,H_precision_weighted,H_recall_macro,H_recall_weighted,H_roc_auc,H_score_time,,,,,,,,,,,,,,,,
RobustScaler + sin PCA + NearMiss_SMOTE + knn,knn,RobustScaler,False,,NearMiss_SMOTE,10000,manhattan,5.0,,,,"0,07925","0,00026","0,16898","0,09533","0,02141","0,29045","0,92075","0,06162","0,00356","0,11508","0,24781","0,93139","0,70955","0,07925","0,53896","129,00388",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,knn,RobustScaler,False,,NearMiss_SMOTE_ENN,10000,manhattan,3.0,,,,"0,08075","0,00023","0,18415","0,10265","0,02945","0,30302","0,91925","0,06148","0,00293","0,11644","0,26740","0,93654","0,69698","0,08075","0,54076","116,52685",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + NONE + knn,knn,RobustScaler,False,,NONE,10000,manhattan,3.0,,,,"0,99337","0,00216","0,83657","0,99336","0,34120","0,17965","0,00663","0,00134","0,01347","0,97797","0,87745","0,99336","0,82035","0,99337","0,99504","1087,42444",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + RUS_SMOTE + knn,knn,RobustScaler,False,,RUS_SMOTE,10000,manhattan,3.0,,,,"0,93256","0,00021","0,53728","0,94671","0,02004","0,09958","0,06744","0,00485","0,00530","0,82197","0,45973","0,96776","0,90042","0,93256","0,97833","105,36316",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,knn,RobustScaler,False,,RUS_SMOTE_ENN,10000,manhattan,3.0,,,,"0,94644","0,00017","0,55091","0,95734","0,02699","0,11602","0,05356","0,00466","0,01632","0,84871","0,48194","0,97253","0,88398","0,94644","0,97714","84,49841",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + NearMiss_SMOTE + knn,knn,StandardScaler,False,,NearMiss_SMOTE,10000,euclidean,15.0,,,,"0,15098","0,00003","0,22177","0,20620","0,01722","0,24675","0,84902","0,05971","0,04662","0,16329","0,29507","0,85497","0,75325","0,15098","0,52562","17,43614",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,knn,StandardScaler,False,,NearMiss_SMOTE_ENN,10000,euclidean,15.0,,,,"0,15081","0,00005","0,22193","0,20666","0,03184","0,24747","0,84919","0,05965","0,04555","0,16436","0,29626","0,85740","0,75253","0,15081","0,52502","24,53641",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + NONE + knn,knn,StandardScaler,False,,NONE,10000,manhattan,5.0,,,,"0,99637","0,00233","0,87622","0,99636","0,34266","0,14856","0,00363","0,00068","0,00657","0,98794","0,92775","0,99637","0,85144","0,99637","0,99827","1172,42665",,,,,,,,,,,,,,,,
